gene,tstat,pval,gene_symbol
ENSG00000151617,-49.728065513820084,0.0,EDNRA
ENSG00000073111,-53.123087207188085,0.0,MCM2
ENSG00000164109,-52.613453093620095,0.0,MAD2L1
ENSG00000101868,-40.11227618246955,0.0,POLA1
ENSG00000138376,-44.55922346409631,0.0,BARD1
ENSG00000122966,-38.9939444967247,1.5819972880717352e-307,CIT
ENSG00000198824,-68.77373343188792,2.379083159993832e-300,CHAMP1
ENSG00000130340,-37.84742570968634,4.486466350033193e-291,SNX9
ENSG00000110104,-37.664220647152135,1.770401329150396e-288,CCDC86
ENSG00000161800,-37.3226046061313,1.1602356150065703e-283,RACGAP1
